"location","age_group","year","week","date","value"
"DE","60-79",2025,6,"2025-02-09",6606
"DE","60-79",2025,7,"2025-02-16",7133
"DE","60-79",2025,8,"2025-02-23",7586
"DE","60-79",2025,9,"2025-03-02",7042
"DE","60-79",2025,10,"2025-03-09",5481
"DE","60-79",2025,11,"2025-03-16",5136
"DE","60-79",2025,12,"2025-03-23",4755
"DE","60-79",2025,13,"2025-03-30",4283
"DE","60-79",2025,14,"2025-04-06",2595
"DE","80+",2024,40,"2024-10-06",3572
"DE","80+",2024,41,"2024-10-13",4391
"DE","80+",2024,42,"2024-10-20",4153
"DE","80+",2024,43,"2024-10-27",4391
"DE","80+",2024,44,"2024-11-03",4165
"DE","80+",2024,45,"2024-11-10",3975
"DE","80+",2024,46,"2024-11-17",3940
"DE","80+",2024,47,"2024-11-24",4070
"DE","80+",2024,48,"2024-12-01",3863
"DE","80+",2024,49,"2024-12-08",4379
"DE","80+",2024,50,"2024-12-15",4397
"DE","80+",2024,51,"2024-12-22",4426
"DE","80+",2024,52,"2024-12-29",4978
"DE","80+",2025,1,"2025-01-05",5334
"DE","80+",2025,2,"2025-01-12",5204
"DE","80+",2025,3,"2025-01-19",4729
"DE","80+",2025,4,"2025-01-26",6100
"DE","80+",2025,5,"2025-02-02",7631
"DE","80+",2025,6,"2025-02-09",6426
"DE","80+",2025,7,"2025-02-16",7761
"DE","80+",2025,8,"2025-02-23",7993
"DE","80+",2025,9,"2025-03-02",7892
"DE","80+",2025,10,"2025-03-09",6313
"DE","80+",2025,11,"2025-03-16",5856
"DE","80+",2025,12,"2025-03-23",5026
"DE","80+",2025,13,"2025-03-30",4385
"DE","80+",2025,14,"2025-04-06",3346
